Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена от, руб","Цена до, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,1 837 500 ,Not available,Prime,робот,передний,Бензин,Ногинск
Haval Dargo,Haval,Dargo,161 329,2.0,192,2022,1 735 100,1 735 100,чёрный,робот,полный,Бензин,Москва
Chery Arrizo 8,Chery,Arrizo 8,864,1.6,186,2023,2 530 000,2 530 000,белый,робот,передний,Бензин,Москва
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 935 250 ,Not available,Action,вариатор,передний,Бензин,Москва
Geely Emgrand X7 I Рестайлинг 2,Geely,Emgrand X7 I Рестайлинг 2,36 303,2.0,139,2021,Not available,Not available,коричневый,автомат,передний,Бензин,Москва
Haval H3,Haval,H3,Новый,1.5,177,2024,2 248 577 ,Not available,Tech+,робот,полный,Бензин,Москва
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 449 000 ,Not available,Tech Plus,робот,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 100 000 ,Not available,Active AWD,робот,полный,Бензин,Москва
Geely Okavango I Рестайлинг,Geely,Okavango I Рестайлинг,Новый,2.0,200,2024,2 712 190 ,Not available,Flagship,робот,передний,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 816 890 ,Not available,Tech+,робот,полный,Бензин,Москва
Haval H3,Haval,H3,Новый,1.5,143,2024,2 043 657 ,Not available,Tech+,робот,передний,Бензин,Москва
Chery Tiggo 8 Pro e+,Chery,Tiggo 8 Pro e+,17 000,1.5,235,2022,Not available,Not available,серый,автомат,передний,Гибрид,Москва
Geely Preface I (China Market) Рестайлинг,Geely,Preface I (China Market) Рестайлинг,23,1.5,181,2024,2 750 000,2 750 000,белый,робот,передний,Бензин,Москва
Haval H3,Haval,H3,Новый,1.5,177,2024,2 248 577 ,Not available,Tech+,робот,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 254 000 ,Not available,Prime AWD,робот,полный,Бензин,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,2 680 000,2 680 000,Ultra,робот,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,41 700,1.5,177,2022,Not available,Not available,серый,робот,полный,Бензин,Москва
Geely Atlas I,Geely,Atlas I,3 450,2.4,149,2021,Not available,Not available,серый,автомат,полный,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,5 000,1.5,150,2023,1 799 000,1 799 000,серый,робот,передний,Бензин,Москва
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,1.6,186,2024,3 177 900 ,Not available,Elite FWD,робот,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,2 120 000 ,Not available,Prime,робот,передний,Бензин,Москва
Geely Okavango I Рестайлинг,Geely,Okavango I Рестайлинг,Новый,2.0,200,2024,2 894 638 ,Not available,Flagship (2023),робот,передний,Бензин,Москва
Haval Dargo,Haval,Dargo,2 919,2.0,192,2024,2 900 000,2 900 000,серый,робот,полный,Бензин,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 750 000 ,Not available,Prime,робот,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,28 000,1.5,177,2023,Not available,Not available,чёрный,робот,полный,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,2 394 670 ,Not available,Elite,робот,передний,Бензин,Москва
Geely Xingyue I,Geely,Xingyue I,83 000,2.0,238,2019,2 800 000,2 800 000,чёрный,автомат,передний,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,2 449 000 ,Not available,Premium,робот,передний,Бензин,Москва
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2024,2 406 130 ,Not available,Elite,робот,передний,Бензин,Москва
