,brand,color,color_group,gearbox,drive,fuel_type,city,city_group,base_model,car_class,mileage,power_1,power_2,model_popularity,age,generation,is_new,is_restyling,is_pro,is_max,is_premium,price
1115,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Coolray,Crossover,15,1.5,172,124,1.0,1,False,1,0,0,0,2490000.0
1116,Geely,серый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,5,2.0,238,319,0.0,1,False,1,0,0,1,3400000.0
1117,Geely,голубой,Холодные,робот,передний,Бензин,Москва,Москва,Icon,Other,1,1.5,181,80,1.0,1,False,0,0,0,0,2699999.0
1118,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Jiaji L,Other,10,1.5,181,54,1.0,1,False,1,0,0,0,2699999.0
1119,Geely,серебристый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,5,2.0,238,319,1.0,1,False,1,0,0,1,3590000.0
1120,Geely,чёрный,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3830000.0
1121,Geely,серебристый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3830000.0
1122,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Boyue Cool,Other,5 000,1.5,174,47,1.0,1,False,0,0,0,0,1750000.0
1123,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Icon,Other,10,1.5,181,80,1.0,1,False,0,0,0,0,2699999.0
1124,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Icon,Other,1,1.5,181,80,1.0,1,False,0,0,0,0,2699999.0
1125,Geely,фиолетовый,Экзотические,робот,передний,Бензин,Московский,Города-спутники,Coolray,Crossover,3 000,1.5,174,124,3.0,1,False,1,0,0,0,1600000.0
1126,Geely,зелёный,Холодные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,10,2.0,238,319,0.0,1,False,1,0,0,1,3750000.0
1127,Geely,серебристый,Нейтральные,робот,передний,Бензин,Москва,Москва,Coolray,Crossover,10,1.5,147,124,1.0,1,False,1,0,0,0,2400000.0
1128,Chery,Ultra Black,Нейтральные,робот,передний,Бензин,Балашиха,Московская область,Arrizo,Sedan,0,1.6,150,19,1.0,1,True,0,0,0,0,2317000.0
